symbol,security_id,exchange,segment,instrument
COALINDIA OCT FUT,52308,NSE,D,FUTSTK
COFORGE OCT FUT,52309,NSE,D,FUTSTK
COLPAL OCT FUT,52310,NSE,D,FUTSTK
CONCOR OCT FUT,52311,NSE,D,FUTSTK
CROMPTON OCT FUT,52314,NSE,D,FUTSTK
CUMMINSIND OCT FUT,52315,NSE,D,FUTSTK
CYIENT OCT FUT,52316,NSE,D,FUTSTK
DABUR OCT FUT,52317,NSE,D,FUTSTK
DALBHARAT OCT FUT,52318,NSE,D,FUTSTK
DELHIVERY OCT FUT,52319,NSE,D,FUTSTK
DIVISLAB OCT FUT,52326,NSE,D,FUTSTK
DIXON OCT FUT,52327,NSE,D,FUTSTK
DLF OCT FUT,52328,NSE,D,FUTSTK
DMART OCT FUT,52329,NSE,D,FUTSTK
DRREDDY OCT FUT,52336,NSE,D,FUTSTK
EICHERMOT OCT FUT,52337,NSE,D,FUTSTK
ETERNAL OCT FUT,52338,NSE,D,FUTSTK
EXIDEIND OCT FUT,52339,NSE,D,FUTSTK
FEDERALBNK OCT FUT,52340,NSE,D,FUTSTK
FORTIS OCT FUT,52341,NSE,D,FUTSTK
GAIL OCT FUT,52342,NSE,D,FUTSTK
GLENMARK OCT FUT,52343,NSE,D,FUTSTK
GMRAIRPORT OCT FUT,52344,NSE,D,FUTSTK
GODREJCP OCT FUT,52345,NSE,D,FUTSTK
GODREJPROP OCT FUT,52350,NSE,D,FUTSTK
GRASIM OCT FUT,52351,NSE,D,FUTSTK
HAL OCT FUT,52352,NSE,D,FUTSTK
HAVELLS OCT FUT,52353,NSE,D,FUTSTK
HCLTECH OCT FUT,52362,NSE,D,FUTSTK
HDFCAMC OCT FUT,52363,NSE,D,FUTSTK
HDFCBANK OCT FUT,52364,NSE,D,FUTSTK
HDFCLIFE OCT FUT,52365,NSE,D,FUTSTK
HEROMOTOCO OCT FUT,52366,NSE,D,FUTSTK
HFCL OCT FUT,52367,NSE,D,FUTSTK
HINDALCO OCT FUT,52368,NSE,D,FUTSTK
HINDPETRO OCT FUT,52369,NSE,D,FUTSTK
HINDUNILVR OCT FUT,52370,NSE,D,FUTSTK
HINDZINC OCT FUT,52371,NSE,D,FUTSTK
HUDCO OCT FUT,52372,NSE,D,FUTSTK
ICICIBANK OCT FUT,52374,NSE,D,FUTSTK
ICICIGI OCT FUT,52375,NSE,D,FUTSTK
ICICIPRULI OCT FUT,52378,NSE,D,FUTSTK
IDEA OCT FUT,52379,NSE,D,FUTSTK
IDFCFIRSTB OCT FUT,52380,NSE,D,FUTSTK
IEX OCT FUT,52381,NSE,D,FUTSTK
IGL OCT FUT,52382,NSE,D,FUTSTK
IIFL OCT FUT,52383,NSE,D,FUTSTK
INDHOTEL OCT FUT,52384,NSE,D,FUTSTK
INDIANB OCT FUT,52390,NSE,D,FUTSTK
INDIGO OCT FUT,52391,NSE,D,FUTSTK
INDUSINDBK OCT FUT,52394,NSE,D,FUTSTK
INDUSTOWER OCT FUT,52395,NSE,D,FUTSTK
INFY OCT FUT,52398,NSE,D,FUTSTK
INOXWIND OCT FUT,52399,NSE,D,FUTSTK
IOC OCT FUT,52406,NSE,D,FUTSTK
IRCTC OCT FUT,52407,NSE,D,FUTSTK
IREDA OCT FUT,52410,NSE,D,FUTSTK
IRFC OCT FUT,52411,NSE,D,FUTSTK
ITC OCT FUT,52414,NSE,D,FUTSTK
JINDALSTEL OCT FUT,52415,NSE,D,FUTSTK
JIOFIN OCT FUT,52418,NSE,D,FUTSTK
JSWENERGY OCT FUT,52419,NSE,D,FUTSTK
JSWSTEEL OCT FUT,52422,NSE,D,FUTSTK
JUBLFOOD OCT FUT,52423,NSE,D,FUTSTK
KALYANKJIL OCT FUT,52424,NSE,D,FUTSTK
KAYNES OCT FUT,52425,NSE,D,FUTSTK
KEI OCT FUT,52428,NSE,D,FUTSTK
KFINTECH OCT FUT,52429,NSE,D,FUTSTK
KOTAKBANK OCT FUT,52430,NSE,D,FUTSTK
KPITTECH OCT FUT,52431,NSE,D,FUTSTK
LAURUSLABS OCT FUT,52432,NSE,D,FUTSTK
LICHSGFIN OCT FUT,52433,NSE,D,FUTSTK
LICI OCT FUT,52434,NSE,D,FUTSTK
LODHA OCT FUT,52441,NSE,D,FUTSTK
LT OCT FUT,52442,NSE,D,FUTSTK
LTF OCT FUT,52443,NSE,D,FUTSTK
LTIM OCT FUT,52444,NSE,D,FUTSTK
LUPIN OCT FUT,52445,NSE,D,FUTSTK
M&M OCT FUT,52446,NSE,D,FUTSTK
MANAPPURAM OCT FUT,52448,NSE,D,FUTSTK
MANKIND OCT FUT,52449,NSE,D,FUTSTK
MARICO OCT FUT,52453,NSE,D,FUTSTK
MARUTI OCT FUT,52454,NSE,D,FUTSTK
MAXHEALTH OCT FUT,52455,NSE,D,FUTSTK
MAZDOCK OCT FUT,52456,NSE,D,FUTSTK
MCX OCT FUT,52457,NSE,D,FUTSTK
MFSL OCT FUT,52458,NSE,D,FUTSTK
MOTHERSON OCT FUT,52459,NSE,D,FUTSTK
MPHASIS OCT FUT,52460,NSE,D,FUTSTK
MUTHOOTFIN OCT FUT,52461,NSE,D,FUTSTK
NATIONALUM OCT FUT,52462,NSE,D,FUTSTK
NAUKRI OCT FUT,52463,NSE,D,FUTSTK
NBCC OCT FUT,52464,NSE,D,FUTSTK
NCC OCT FUT,52465,NSE,D,FUTSTK
NESTLEIND OCT FUT,52466,NSE,D,FUTSTK
NHPC OCT FUT,52470,NSE,D,FUTSTK
NMDC OCT FUT,52471,NSE,D,FUTSTK
NTPC OCT FUT,52474,NSE,D,FUTSTK
NUVAMA SEP FUT,52476,NSE,D,FUTSTK
NUVAMA OCT FUT,52484,NSE,D,FUTSTK
NYKAA OCT FUT,52485,NSE,D,FUTSTK
OBEROIRLTY OCT FUT,52486,NSE,D,FUTSTK
OFSS OCT FUT,52487,NSE,D,FUTSTK
OIL OCT FUT,52488,NSE,D,FUTSTK
ONGC OCT FUT,52489,NSE,D,FUTSTK
PAGEIND OCT FUT,52490,NSE,D,FUTSTK
PATANJALI OCT FUT,52491,NSE,D,FUTSTK
PAYTM OCT FUT,52492,NSE,D,FUTSTK
